skill_id,source_problem_count
ar_multi_step_numeric,44
ar_divide_equal_groups,29
meas_money_shopping,29
data_bar_charts,25
stat_mean,24
geom_angle_facts,22
geom_area_basic,20
alg_substitution,19
meas_time_duration,18
geom_special_triangle_angles,18
geom_shape_names,14
pct_percent_of_amount,13
geom_circle_measure,13
frac_unit_fractions,12
stat_median_mode_range,12
seq_arithmetic_geometric,11
dec_add_subtract,11
np_rounding,11
geom_volume,11
meas_calendar_timetable_timezone,10
geom_3d_shape_properties,10
meas_unit_selection,9
meas_unit_conversion,9
frac_of_amount,9
ar_multiplication_context,8
ar_divide_remainders,8
meas_money_coins,8
prop_scale_maps,8
np_compare_order_numbers,8
geom_perimeter_composite,8
ar_add_subtract_word,8
nm_multiples_in_range,8
sets_venn_overlap,8
data_pie_charts,7
alg_expressions_from_words,7
geom_coordinates_missing_vertex,7
data_tables,7
dec_multiplication,7
dec_scale_powers_ten,7
geom_coordinate_transformations,7
prob_basic,6
geom_area_composite_visual,6
geom_tiling_count,6
geom_line_symmetry_shapes,6
np_words_to_digits,6
geom_line_symmetry_text,6
geom_angle_types,5
nm_factors_multiples_basic,5
ar_divide_round_up,5
frac_compare_equivalence,5
meas_capacity,5
frac_operations,5
np_number_line,5
alg_equations_formulas,5
prop_inverse_workers,4
mixed_multistep,4
pct_reverse_percentage,4
alg_equivalent_forms,4
ar_missing_calculation,4
prop_unit_rate,4
pct_discount_sale_price,4
np_digit_rearrangement,3
frac_shaded_visual,3
meas_capacity_rate,3
geom_rotational_symmetry,3
ratio_share,3
geom_symmetry_completion,3
mixed_constraints,3
seq_recurrence,3
geom_area_scaling,3
geom_coordinates_read_plot,3
prop_similarity,3
logic_must_be_true,3
nm_lcm_remainders,3
geom_parallel_perpendicular,3
nm_square_cube_numbers,3
geom_surface_area,3
prop_speed_distance_time,3
alg_relationship_word_problems,2
meas_money_offers_packages,2
geom_nets,2
prop_recipe_scaling,2
nm_divisibility_tests,2
data_pictograms,2
ratio_equivalence,2
pct_percentage_composition,2
mixed_custom_notation,2
meas_distance_networks,2
np_negative_numbers,2
nm_prime_numbers,2
dec_fraction_percent_conversion,2
frac_reverse_remainder,1
np_digit_place_value,1
meas_mass_weight,1
geom_regular_polygon_angles,1
prob_compare_complement,1
ratio_mixture_fraction,1
geom_tessellation,1
nm_integer_combinations,1
geom_3d_spatial_reasoning,1
mixed_grid_logic,1
